"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
11046;11046;"25578";"Dägeling";"Kaddenbusch";"11"
11059;11059;"89188";"Merklingen";"Johannes-Lohrmann-Weg";"5"
11062;11062;"85609";"Aschheim-Dornach";"Otto-Hahn-Str.";"20"
11073;11073;"10713";"Berlin";"Hohenzollerndamm";"47a"
11074;11074;"25421";"Pinneberg";"Dingstätte";"27"
11113;11113;"33602";"Bielefeld";"Walther-Rathenau-Str.";"59"
11132;11132;"14195";"Berlin";"Podbielskiallee";"68"
11177;11177;"61169";"Friedberg";"Kaiserstr.";"128"
11244;11244;"01855";"Sebnitz";"Hoehenweg";"9"
11245;11245;"98596";"Brotterode-Trusetal";"Im Beierstal";"6"
11248;11248;"98716";"Geraberg";"Ohrdrufer Str.";"15"
11295;11295;"80804";"München";"Leopoldstr.";"175"
11306;11306;"23795";"Bad Segeberg";"Bahnhofstr.";"1-3"
11324;11324;"07426";"Königsee";"Lindenstr.";"11"
11368;11368;"69509";"Mörlenbach";"Großbreitenbach";"60"
11451;11451;"56379";"Singhofen";"Hauptstr.";"101a"
11547;11547;"80999";"München";"St.-Johann-Str.";"8"
11574;11574;"70327";"Stuttgart";"Heiligenwiesen";"26"
11728;11728;"04442";"Zwenkau";"Spengler Allee";"12-14"
11811;11811;"02979";"Burgneudorf";"Neustaedter Str.";"9"
11858;11858;"79111";"Freiburg";"Bötzingerstr.";"62"
11922;11922;"49219";"Glandorf";"Kattenvenner Str.";"32"
12176;12176;"59073";"Hamm";"Auf dem Knuf";"26"
12437;12437;"60528";"Frankfurt";"Lyonerstraße";"15"
12443;12443;"89079";"Ulm";"Graf-Arco-Str.";"3"
12445;12445;"48155";"Münster";"Albersloher Weg";"11"
12446;12446;"64283";"Darmstadt";"Elisabethenstr.";"44"
12508;12508;"83131";"Nußdorf am Inn";"Stagenreiterstr.";"4"
13001;651;"22607";"Hamburg";"Notkestraße";"9"
13004;13502;"47807";"Krefeld";"Europark Fichtenhain";"B 13"
13008;277;"30952";"Ronnenberg";"Barbarastraße";"14"
13011;13508;"33739";"Bielefeld";"Heidsieker Heide";"114"
13025;13520;"27010";"Valle Salimbene";"Via Fartelli Cervis";"8"
13503;13522;"35625";"Hüttenberg";"Werrastraße";"1a"
13510;13527;"81829";"München";"Konrad-Zuse-Platz";"8"
13511;13528;"22763";"Hamburg";"Friesenweg  Haus 21";"4"
13514;13530;"26135";"Oldenburg";"August-Wilhelm-Kühnholz-Str.";"13"
13521;13537;"55252";"Mainz-Kastel";"Peter-Sander-Str.";"41b"
13522;13538;"53125";"Bonn";"Erfurtstraße";"64"
13527;13543;"44149";"Dortmund";"Ernst-Abbe-Str.";"4"
13534;13550;"68305";"Mannheim";"Sandhoferstraße";"116"
13535;13551;"51377";"Leverkusen";"Hemmelrather Weg Gebäude GIZ 1";"201"
13541;13556;"";"";"";""
13552;13567;"31303";"Burgdorf";"Varrel";"11"
13553;13568;"23795";"Bad Segeberg";"Bahnhofstr.";"1-3"
13555;13570;"34212";"Melsungen";"Carl-Braun-Str.";"1"
13556;13571;"71083";"Herrenberg";"Hertzstr.";"3"
13562;13577;"66280";"Sulzbach";"Justus-von-Liebig-Str.";"16"
13563;13578;"13581";"Berlin";"Brunsbütteler Damm";"165-173"
13564;13579;"65835";"Liederbach";"Höchster Straße";"70"
13572;13587;"61352";"Bad Homburg";"Benzstr.";"1"
13574;13589;"82166";"Gräfelfing";"Pasinger Str.";"16"
13575;13590;"80636";"München";"Erika-Mann-Str.";"21"
13577;13593;"83646";"Bad Tölz";"Ruhlandstrasse";"5"
13578;13594;"25436";"Uetersen";"Pinnauallee";"4"
13585;13601;"81675";"München";"Prinzregentenstr.";"79"
13586;13602;"6111";"Bad Vilbel";"Theodor-Heuss-Str.";"52"
13587;13603;"31008";"Elze";"Bahnhofstr.";"18"
13589;13605;"25474";"Ellerbek";"Oasenweg";"3"
13591;13607;"22885";"Barsbüttel";"Kiebitzhörn";"33-35"
13592;13608;"31789";"Hameln";"Langes Feld";"13"
13598;13614;"23863";"Nienwohld";"Trift";"4"
13603;13618;"12103";"Berlin";"Bessemerstr.";"82"
13604;13620;"52249";"Eschweiler";"Ernst-Abbe-Str.";"26"
13605;13621;"09484";"Oberwiesenthal";"Annaberger Str.";"40"
13609;13627;"22761";"Hamburg";"Gasstraße";"6"
13611;13629;"79100";"Freiburg";"Konrad-Goldmann-Str.";"5b"
13614;13632;"82152";"Martinsried";"Fraunhoferstr.";"9a"
13616;13634;"67346";"Speyer";"Brunckstr.";"12"
13618;10151;"41516";"Grevenbroich";"Friedrich-Bergius-Str.";"13"
13627;13645;"44328";"Dortmund";"Droote";"50"
13635;13653;"44581";"Castrop Rauxel";"Ickerner Str.";"47"
13638;13656;"63225";"Langen";"Robert-Bosch-Str.";"11"
13644;13662;"50996";"Köln";"Wankelstr.";"60"
13647;13665;"20535";"Hamburg";"Carl-Petersen-Str.";"4"
13657;13675;"66839";"Schmelz";"Dorfstr.";"138"
